search_space,relative_folder,matched_identifiers,ts_candidate_identifiers,full_conf_identifiers,component_inferred_identifiers,component_ts_fallback_identifiers,component_non_ts_artifact_identifiers,ambiguous_component_identifiers,matched_components,matched_files,example_identifiers
Data/first_10000/*,OM,2143,2143,2143,0,0,0,0,2143,4286,"B_00388_Nu_00001_Cl_00443_0000, B_00388_Nu_00001_Cl_00444_0000, B_00388_Nu_00001_Cl_00445_0000, B_00388_Nu_00001_Cl_00446_0000, B_00388_Nu_00001_Cl_00447_0000"
Data/first_10000/*,TS,2142,2142,2142,0,0,0,0,2142,2146,"B_00388_Nu_00001_Cl_00443_0000, B_00388_Nu_00001_Cl_00444_0000, B_00388_Nu_00001_Cl_00445_0000, B_00388_Nu_00001_Cl_00446_0000, B_00388_Nu_00001_Cl_00447_0000"
Y backup Data/*/*,first_10000/TS,2142,2142,2142,0,0,0,0,2142,2146,"B_00388_Nu_00001_Cl_00443_0000, B_00388_Nu_00001_Cl_00444_0000, B_00388_Nu_00001_Cl_00445_0000, B_00388_Nu_00001_Cl_00446_0000, B_00388_Nu_00001_Cl_00447_0000"
Sum/*,TS_ENG,208,208,202,17,17,0,0,208,222,"B_00388_Nu_00141_Cl_00504_0000, B_00388_Nu_00143_Cl_00475_0000, B_00388_Nu_00143_Cl_00487_0000, B_00388_Nu_00143_Cl_00554_0000, B_00388_Nu_00143_Cl_00564_0000"
Y backup Sum/*,TS_ENG,208,208,202,17,17,0,0,208,222,"B_00388_Nu_00141_Cl_00504_0000, B_00388_Nu_00143_Cl_00475_0000, B_00388_Nu_00143_Cl_00487_0000, B_00388_Nu_00143_Cl_00554_0000, B_00388_Nu_00143_Cl_00564_0000"
Y backup Sum/*,TS_needIRC,171,171,168,3,3,0,0,171,171,"B_00388_Nu_00141_Cl_00504_0000, B_00388_Nu_00143_Cl_00475_0000, B_00388_Nu_00143_Cl_00554_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00143_Cl_00603_0000"
Sum/*,IRC_full,155,155,153,2,2,0,0,155,313,"B_00388_Nu_00141_Cl_00504_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00184_Cl_00499_0000, B_00388_Nu_00184_Cl_00563_0000, B_00388_Nu_00301_Cl_00592_0000"
Sum/*,OtherIRCs,149,149,148,1,1,0,0,149,298,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Data/first_10000/*,IRC,130,130,130,0,0,0,0,130,520,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Y backup Data/*/*,first_10000/IRC,130,130,130,0,0,0,0,130,520,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Data/first_10000/*,TS_ENG,129,129,129,0,0,0,0,129,258,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Y backup Data/*/*,first_10000/TS_ENG,129,129,129,0,0,0,0,129,258,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Data/first_10000/*,ts_irc_fail_new,128,128,128,0,0,0,0,128,128,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Y backup Data/*/*,first_10000/ts_irc_fail_new,128,128,128,0,0,0,0,128,128,"B_00388_Nu_00001_Cl_00483_0000, B_00388_Nu_00031_Cl_00462_0000, B_00388_Nu_00033_Cl_00483_0000, B_00388_Nu_00057_Cl_00483_0000, B_00388_Nu_00064_Cl_00483_0000"
Y backup Sum/*,IRC_full3,86,86,86,0,0,0,0,86,134,"B_00388_Nu_00184_Cl_00563_0000, B_00388_Nu_00301_Cl_00592_0000, B_00388_Nu_00343_Cl_00596_0000, B_00388_Nu_00361_Cl_00452_0000, B_00389_Nu_00334_Cl_00499_0000"
Data/first_10000/*,ts_dead,79,79,79,0,0,0,0,79,79,"B_00388_Nu_00001_Cl_00456_0001, B_00388_Nu_00001_Cl_00479_0000, B_00388_Nu_00001_Cl_00618_0000, B_00388_Nu_00002_Cl_00483_0000, B_00388_Nu_00026_Cl_00485_0000"
Y backup Data/*/*,first_10000/ts_dead,79,79,79,0,0,0,0,79,79,"B_00388_Nu_00001_Cl_00456_0001, B_00388_Nu_00001_Cl_00479_0000, B_00388_Nu_00001_Cl_00618_0000, B_00388_Nu_00002_Cl_00483_0000, B_00388_Nu_00026_Cl_00485_0000"
Y backup Sum/*,IRC_full4,71,71,70,1,1,0,0,71,206,"B_00388_Nu_00184_Cl_00499_0000, B_00388_Nu_00184_Cl_00563_0000, B_00388_Nu_00301_Cl_00592_0000, B_00388_Nu_00361_Cl_00452_0000, B_00389_Nu_00317_Cl_00604_0000"
Y backup Sum/*,IRC,61,61,59,6,6,0,0,61,129,"B_00388_Nu_00141_Cl_00504_0000, B_00388_Nu_00143_Cl_00475_0000, B_00388_Nu_00143_Cl_00487_0000, B_00388_Nu_00143_Cl_00554_0000, B_00388_Nu_00143_Cl_00564_0000"
Y backup Data/*/*,First_ts/Mols,49,49,0,49,49,0,0,49,49,"B_00388_Nu_00001_Cl_00545_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00361_Cl_00452_0000, B_00389_Nu_00020_Cl_00591_0000, B_00389_Nu_00047_Cl_00490_0000"
Sum/*/*,OtherConf/TS_OtherConf,47,47,34,14,14,0,0,47,48,"B_00388_Nu_00143_Cl_00487_0000, B_00388_Nu_00143_Cl_00564_0000, B_00389_Nu_00047_Cl_00490_0000, B_00389_Nu_00333_Cl_00455_0100, B_00389_Nu_00339_Cl_00497_0000"
Y backup Sum/*,TS,47,47,34,14,14,0,0,47,48,"B_00388_Nu_00143_Cl_00487_0000, B_00388_Nu_00143_Cl_00564_0000, B_00389_Nu_00047_Cl_00490_0000, B_00389_Nu_00333_Cl_00455_0100, B_00389_Nu_00339_Cl_00497_0000"
Y backup Data/*/*,First_ts/TS,45,45,37,31,31,0,0,45,111,"B_00388_Nu_00001_Cl_00545_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00361_Cl_00452_0000, B_00389_Nu_00020_Cl_00591_0000, B_00389_Nu_00047_Cl_00490_0000"
Y backup Data/*/*,First_ts/TS_ENG,37,37,31,18,18,0,0,37,98,"B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00361_Cl_00452_0000, B_00389_Nu_00047_Cl_00490_0000, B_00389_Nu_00333_Cl_00455_0100, B_00390_Nu_00097_Cl_00493_0000"
Y backup Data/*/*,First_ts/OM,37,37,37,0,0,0,0,37,70,"B_00388_Nu_00001_Cl_00545_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00361_Cl_00452_0000, B_00389_Nu_00020_Cl_00591_0000, B_00389_Nu_00047_Cl_00490_0000"
Sum/*,TS_fail,28,28,28,0,0,0,0,28,40,"B_00388_Nu_00141_Cl_00504_0000, B_00388_Nu_00143_Cl_00475_0000, B_00388_Nu_00309_Cl_00602_0000, B_00389_Nu_00330_Cl_00484_0000, B_00390_Nu_00242_Cl_00602_0000"
Data/first_10000/*,yqc,24,24,24,0,0,0,0,24,48,"B_00388_Nu_00001_Cl_00485_0000, B_00388_Nu_00030_Cl_00580_0000, B_00388_Nu_00137_Cl_00455_0000, B_00389_Nu_00143_Cl_00505_0000, B_00395_Nu_00225_Cl_00488_0000"
Y backup Data/*/*,first_10000/yqc,24,24,24,0,0,0,0,24,48,"B_00388_Nu_00001_Cl_00485_0000, B_00388_Nu_00030_Cl_00580_0000, B_00388_Nu_00137_Cl_00455_0000, B_00389_Nu_00143_Cl_00505_0000, B_00395_Nu_00225_Cl_00488_0000"
Y backup Data/*/*,First_ts/OM_new_2,24,24,24,0,0,0,0,24,36,"B_00388_Nu_00001_Cl_00545_0000, B_00388_Nu_00143_Cl_00564_0000, B_00389_Nu_00020_Cl_00591_0000, B_00397_Nu_00254_Cl_00527_0000, B_00397_Nu_00259_Cl_00579_0000"
Sum/*/*,Combined/Combine_Reactant,21,21,20,1,1,0,0,21,37,"B_00388_Nu_00143_Cl_00475_0000, B_00388_Nu_00143_Cl_00554_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00143_Cl_00603_0000, B_00388_Nu_00184_Cl_00499_0000"
Y backup Data/*/*,First_ts/IRC,20,20,18,6,6,0,0,20,96,"B_00388_Nu_00143_Cl_00564_0000, B_00395_Nu_00197_Cl_00585_0001, B_00397_Nu_00254_Cl_00527_0000, B_00397_Nu_00259_Cl_00579_0000, B_00399_Nu_00269_Cl_00558_0000"
Data/first_10000/*,Inv3,19,19,19,0,0,0,0,19,19,"B_00388_Nu_00259_Cl_00573_0000, B_00389_Nu_00143_Cl_00497_0000, B_00389_Nu_00143_Cl_00536_0000, B_00400_Nu_00076_Cl_00584_0000, B_00400_Nu_00092_Cl_00500_0000"
Y backup Data/*/*,first_10000/Inv3,19,19,19,0,0,0,0,19,19,"B_00388_Nu_00259_Cl_00573_0000, B_00389_Nu_00143_Cl_00497_0000, B_00389_Nu_00143_Cl_00536_0000, B_00400_Nu_00076_Cl_00584_0000, B_00400_Nu_00092_Cl_00500_0000"
Sum/*,TS_uncertain_IRC,15,15,14,1,1,0,0,15,45,"B_00388_Nu_00143_Cl_00554_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00143_Cl_00603_0000, B_00388_Nu_00184_Cl_00499_0000, B_00388_Nu_00184_Cl_00563_0000"
Sum/*/*,Combined/Combine_Reactant_eng,15,15,14,1,1,0,0,15,30,"B_00388_Nu_00143_Cl_00554_0000, B_00388_Nu_00143_Cl_00564_0000, B_00388_Nu_00143_Cl_00603_0000, B_00388_Nu_00184_Cl_00499_0000, B_00388_Nu_00184_Cl_00563_0000"
Y backup Data/*/*,First_ts/OM_new,12,12,12,0,0,0,0,12,12,"B_00406_Nu_00133_Cl_00485_0000, B_00409_Nu_00320_Cl_00614_0000, B_00413_Nu_00134_Cl_00526_0000, B_00422_Nu_00214_Cl_00535_0000, B_00425_Nu_00243_Cl_00578_0000"
Sum/*/*,OtherConf/IRC_OtherConf,11,11,7,4,4,0,0,11,22,"B_00388_Nu_00143_Cl_00487_0000, B_00394_Nu_00026_Cl_00483_0000, B_00397_Nu_00254_Cl_00527_0000, B_00399_Nu_00269_Cl_00558_0000, B_00415_Nu_00331_Cl_00489_0000"
Y backup Data/*/*,First_ts/ts_dust_bin,5,5,5,0,0,0,0,5,5,"B_00388_Nu_00001_Cl_00545_0000, B_00399_Nu_00009_Cl_00491_0000, B_00401_Nu_00015_Cl_00500_0000, B_00404_Nu_00317_Cl_00592_0000, B_00413_Nu_00134_Cl_00526_0000"
Y backup Sum/*/*,IRC_full3_/subdir_196,5,5,5,0,0,0,0,5,5,"B_00390_Nu_00182_Cl_00484_0000, B_00394_Nu_00074_Cl_00539_0000, B_00415_Nu_00123_Cl_00487_0000, B_00415_Nu_00309_Cl_00602_0000, B_00429_Nu_00064_Cl_00460_0000"
Y backup Data/*/*,5/TS,4,4,4,0,0,0,0,4,6,"B_00391_Nu_00057_Cl_00563_0000, B_00397_Nu_00288_Cl_00459_0000, B_00401_Nu_00176_Cl_00465_0000, B_00435_Nu_00293_Cl_00522_0000"
Y backup Sum/*/*,IRC_full3_/subdir_67,4,4,4,0,0,0,0,4,4,"B_00401_Nu_00382_Cl_00516_0000, B_00406_Nu_00307_Cl_00461_0000, B_00412_Nu_00289_Cl_00604_0000, B_00415_Nu_00331_Cl_00563_0000"
Y backup Data/*/*,20/TS,3,3,3,0,0,0,0,3,6,"B_00396_Nu_00237_Cl_00519_0000, B_00401_Nu_00068_Cl_00541_0000, B_00424_Nu_00173_Cl_00519_0000"
Y backup Data/*/*,20/TS_ENG,3,3,3,0,0,0,0,3,6,"B_00396_Nu_00237_Cl_00519_0000, B_00401_Nu_00068_Cl_00541_0000, B_00424_Nu_00173_Cl_00519_0000"
Y backup Data/*/*,18/TS,3,3,3,0,0,0,0,3,5,"B_00391_Nu_00026_Cl_00519_0000, B_00391_Nu_00050_Cl_00599_0000, B_00397_Nu_00031_Cl_00519_0000"
Y backup Sum/*/*,IRC_full3_/subdir_184,3,3,3,0,0,0,0,3,3,"B_00404_Nu_00385_Cl_00574_0000, B_00408_Nu_00288_Cl_00591_0000, B_00415_Nu_00309_Cl_00566_0000"
Y backup Sum/*/*,IRC_full3_/subdir_197,3,3,3,0,0,0,0,3,3,"B_00408_Nu_00299_Cl_00443_0000, B_00415_Nu_00123_Cl_00487_0000, B_00415_Nu_00309_Cl_00602_0000"
Y backup Sum/*/*,IRC_full3_/subdir_31,3,3,3,0,0,0,0,3,3,"B_00406_Nu_00227_Cl_00562_0000, B_00411_Nu_00332_Cl_00563_0000, B_00415_Nu_00317_Cl_00590_0000"
Y backup Sum/*/*,IRC_full3_/subdir_34,3,3,3,0,0,0,0,3,3,"B_00394_Nu_00296_Cl_00621_0000, B_00415_Nu_00317_Cl_00605_0000, B_00431_Nu_00143_Cl_00594_0000"
Y backup Sum/*/*,IRC_full3_/subdir_45,3,3,3,0,0,0,0,3,3,"B_00388_Nu_00343_Cl_00596_0000, B_00397_Nu_00309_Cl_00591_0000, B_00415_Nu_00331_Cl_00445_0000"
Y backup Sum/*/*,IRC_full3_/subdir_8,3,3,3,0,0,0,0,3,3,"B_00397_Nu_00031_Cl_00519_0000, B_00401_Nu_00094_Cl_00533_0000, B_00429_Nu_00256_Cl_00544_0000"
Y backup Sum/*/*,IRC_full3_/subdir_84,3,3,3,0,0,0,0,3,3,"B_00402_Nu_00153_Cl_00519_0000, B_00421_Nu_00037_Cl_00568_0000, B_00438_Nu_00112_Cl_00525_0000"
Y backup Data/*/*,1/TS,2,2,2,0,0,0,0,2,4,"B_00429_Nu_00064_Cl_00460_0000, B_00439_Nu_00052_Cl_00503_0000"
Y backup Data/*/*,1/TS_ENG,2,2,2,0,0,0,0,2,4,"B_00429_Nu_00064_Cl_00460_0000, B_00439_Nu_00052_Cl_00503_0000"
Y backup Data/*/*,15/TS,2,2,2,0,0,0,0,2,4,"B_00388_Nu_00143_Cl_00487_0000, B_00396_Nu_00209_Cl_00519_0000"
Y backup Data/*/*,15/TS_ENG,2,2,2,0,0,0,0,2,4,"B_00388_Nu_00143_Cl_00487_0000, B_00396_Nu_00209_Cl_00519_0000"
Y backup Data/*/*,15/TS_improve,2,2,2,0,0,0,0,2,4,"B_00388_Nu_00143_Cl_00487_0000, B_00396_Nu_00209_Cl_00519_0000"
Y backup Data/*/*,17/TS,2,2,2,0,0,0,0,2,4,"B_00391_Nu_00050_Cl_00503_0000, B_00391_Nu_00058_Cl_00519_0000"
