search_space,relative_folder,matched_identifiers,ts_candidate_identifiers,full_conf_identifiers,component_inferred_identifiers,component_ts_fallback_identifiers,component_non_ts_artifact_identifiers,ambiguous_component_identifiers,matched_components,matched_files,example_identifiers
Y backup Data/*/*,17/TS_ENG,2,2,2,0,0,0,0,2,4,"B_00391_Nu_00050_Cl_00503_0000, B_00391_Nu_00058_Cl_00519_0000"
Y backup Data/*/*,18/TS_ENG,2,2,2,0,0,0,0,2,4,"B_00391_Nu_00026_Cl_00519_0000, B_00397_Nu_00031_Cl_00519_0000"
Y backup Data/*/*,22/IRC,2,2,2,0,0,0,0,2,4,"B_00430_Nu_00308_Cl_00500_0000, B_00439_Nu_00290_Cl_00525_0000"
Y backup Data/*/*,22/TS,2,2,2,0,0,0,0,2,4,"B_00430_Nu_00308_Cl_00500_0000, B_00439_Nu_00290_Cl_00525_0000"
Y backup Data/*/*,22/TS_ENG,2,2,2,0,0,0,0,2,4,"B_00430_Nu_00308_Cl_00500_0000, B_00439_Nu_00290_Cl_00525_0000"
Y backup Data/*/*,27/TS,2,2,2,0,0,0,0,2,4,"B_00421_Nu_00037_Cl_00568_0000, B_00421_Nu_00053_Cl_00504_0000"
Y backup Data/*/*,27/TS_ENG,2,2,2,0,0,0,0,2,4,"B_00421_Nu_00037_Cl_00568_0000, B_00421_Nu_00053_Cl_00504_0000"
Y backup Data/*/*,3/TS,2,2,2,0,0,0,0,2,4,"B_00421_Nu_00220_Cl_00514_0000, B_00439_Nu_00057_Cl_00501_0000"
Y backup Data/*/*,3/TS_ENG,2,2,2,0,0,0,0,2,4,"B_00421_Nu_00220_Cl_00514_0000, B_00439_Nu_00057_Cl_00501_0000"
Y backup Data/*/*,5/TS_ENG,2,2,2,0,0,0,0,2,4,"B_00401_Nu_00176_Cl_00465_0000, B_00435_Nu_00293_Cl_00522_0000"
Y backup Data/*/*,9/TS,2,2,2,0,0,0,0,2,4,"B_00420_Nu_00029_Cl_00563_0000, B_00437_Nu_00163_Cl_00549_0001"
Y backup Data/*/*,9/TS_ENG,2,2,2,0,0,0,0,2,4,"B_00420_Nu_00029_Cl_00563_0000, B_00437_Nu_00163_Cl_00549_0001"
Y backup Data/*/*,6/TS,2,2,2,0,0,0,0,2,2,"B_00436_Nu_00134_Cl_00574_0000, B_00441_Nu_00387_Cl_00597_0000"
Y backup Data/*/*,6/ts_dust_bin,2,2,2,0,0,0,0,2,2,"B_00436_Nu_00134_Cl_00574_0000, B_00441_Nu_00387_Cl_00597_0000"
Y backup Sum/*/*,IRC_full3_/subdir_176,2,2,2,0,0,0,0,2,2,"B_00396_Nu_00209_Cl_00519_0000, B_00427_Nu_00237_Cl_00609_0000"
Y backup Sum/*/*,IRC_full3_/subdir_178,2,2,2,0,0,0,0,2,2,"B_00389_Nu_00334_Cl_00499_0000, B_00396_Nu_00220_Cl_00593_0000"
Y backup Sum/*/*,IRC_full3_/subdir_179,2,2,2,0,0,0,0,2,2,"B_00389_Nu_00334_Cl_00499_0000, B_00396_Nu_00220_Cl_00593_0000"
Y backup Sum/*/*,IRC_full3_/subdir_180,2,2,2,0,0,0,0,2,2,"B_00389_Nu_00334_Cl_00533_0000, B_00393_Nu_00114_Cl_00618_0000"
Y backup Sum/*/*,IRC_full3_/subdir_186,2,2,2,0,0,0,0,2,2,"B_00396_Nu_00237_Cl_00519_0000, B_00415_Nu_00309_Cl_00574_0000"
Y backup Sum/*/*,IRC_full3_/subdir_187,2,2,2,0,0,0,0,2,2,"B_00415_Nu_00309_Cl_00574_0000, B_00428_Nu_00194_Cl_00465_0000"
Y backup Sum/*/*,IRC_full3_/subdir_195,2,2,2,0,0,0,0,2,2,"B_00394_Nu_00074_Cl_00539_0000, B_00429_Nu_00064_Cl_00460_0000"
Y backup Sum/*/*,IRC_full3_/subdir_20,2,2,2,0,0,0,0,2,2,"B_00405_Nu_00339_Cl_00457_0000, B_00415_Nu_00316_Cl_00502_0000"
Y backup Sum/*/*,IRC_full3_/subdir_21,2,2,2,0,0,0,0,2,2,"B_00405_Nu_00339_Cl_00457_0000, B_00415_Nu_00316_Cl_00502_0000"
Y backup Sum/*/*,IRC_full3_/subdir_30,2,2,2,0,0,0,0,2,2,"B_00411_Nu_00332_Cl_00563_0000, B_00415_Nu_00317_Cl_00590_0000"
Y backup Sum/*/*,IRC_full3_/subdir_35,2,2,2,0,0,0,0,2,2,"B_00415_Nu_00317_Cl_00605_0000, B_00431_Nu_00143_Cl_00594_0000"
Y backup Sum/*/*,IRC_full3_/subdir_38,2,2,2,0,0,0,0,2,2,"B_00391_Nu_00026_Cl_00519_0000, B_00415_Nu_00321_Cl_00517_0000"
Y backup Sum/*/*,IRC_full3_/subdir_44,2,2,2,0,0,0,0,2,2,"B_00415_Nu_00331_Cl_00445_0000, B_00431_Nu_00332_Cl_00454_0000"
Y backup Sum/*/*,IRC_full3_/subdir_46,2,2,2,0,0,0,0,2,2,"B_00388_Nu_00343_Cl_00596_0000, B_00397_Nu_00309_Cl_00591_0000"
Y backup Sum/*/*,IRC_full3_/subdir_48,2,2,2,0,0,0,0,2,2,"B_00391_Nu_00050_Cl_00503_0000, B_00394_Nu_00309_Cl_00536_0000"
Y backup Sum/*/*,IRC_full3_/subdir_51,2,2,2,0,0,0,0,2,2,"B_00388_Nu_00361_Cl_00452_0000, B_00415_Nu_00331_Cl_00463_0000"
Y backup Sum/*/*,IRC_full3_/subdir_61,2,2,2,0,0,0,0,2,2,"B_00406_Nu_00292_Cl_00446_0000, B_00412_Nu_00289_Cl_00512_0000"
Y backup Sum/*/*,IRC_full3_/subdir_66,2,2,2,0,0,0,0,2,2,"B_00415_Nu_00331_Cl_00563_0000, B_00433_Nu_00339_Cl_00598_0000"
Y backup Sum/*/*,IRC_full3_/subdir_69,2,2,2,0,0,0,0,2,2,"B_00412_Nu_00289_Cl_00610_0000, B_00420_Nu_00143_Cl_00610_0000"
Y backup Sum/*/*,IRC_full3_/subdir_7,2,2,2,0,0,0,0,2,2,"B_00401_Nu_00093_Cl_00607_0000, B_00429_Nu_00256_Cl_00544_0000"
Y backup Sum/*/*,IRC_full3_/subdir_70,2,2,2,0,0,0,0,2,2,"B_00412_Nu_00289_Cl_00610_0000, B_00420_Nu_00143_Cl_00610_0000"
Y backup Sum/*/*,IRC_full3_/subdir_80,2,2,2,0,0,0,0,2,2,"B_00391_Nu_00133_Cl_00525_0000, B_00409_Nu_00326_Cl_00602_0000"
Y backup Sum/*/*,IRC_full3_/subdir_83,2,2,2,0,0,0,0,2,2,"B_00402_Nu_00153_Cl_00519_0000, B_00438_Nu_00112_Cl_00525_0000"
Y backup Sum/*/*,IRC_full3_/subdir_9,2,2,2,0,0,0,0,2,2,"B_00401_Nu_00094_Cl_00533_0000, B_00429_Nu_00256_Cl_00602_0000"
Y backup Sum/*/*,IRC_full3_/subdir_95,2,2,2,0,0,0,0,2,2,"B_00394_Nu_00328_Cl_00561_0000, B_00402_Nu_00267_Cl_00523_0000"
Y backup Sum/*/*,IRC_full3_/subdir_98,2,2,2,0,0,0,0,2,2,"B_00391_Nu_00282_Cl_00466_0000, B_00422_Nu_00107_Cl_00618_0000"
Y backup Sum/*/*,IRC_full3_/subdir_99,2,2,2,0,0,0,0,2,2,"B_00394_Nu_00331_Cl_00597_0000, B_00422_Nu_00107_Cl_00618_0000"
Y backup Data/*/*,15/IRC,1,1,1,0,0,0,0,1,4,B_00388_Nu_00143_Cl_00487_0000
Y backup Data/*/*,4/IRC,1,1,1,0,0,0,0,1,4,B_00391_Nu_00054_Cl_00524_0000
Y backup Data/*/*,First_ts/irc_new_2,1,1,1,0,0,0,0,1,4,B_00389_Nu_00020_Cl_00591_0000
Y backup Data/*/*,1/TS_improve,1,1,1,0,0,0,0,1,2,B_00429_Nu_00064_Cl_00460_0000
Y backup Data/*/*,10/TS,1,1,1,0,0,0,0,1,2,B_00396_Nu_00220_Cl_00535_0000
Y backup Data/*/*,10/TS_ENG,1,1,1,0,0,0,0,1,2,B_00396_Nu_00220_Cl_00535_0000
Y backup Data/*/*,10/TS_improve,1,1,1,0,0,0,0,1,2,B_00396_Nu_00220_Cl_00535_0000
Y backup Data/*/*,11/TS,1,1,1,0,0,0,0,1,2,B_00396_Nu_00220_Cl_00593_0000
Y backup Data/*/*,11/TS_ENG,1,1,1,0,0,0,0,1,2,B_00396_Nu_00220_Cl_00593_0000
Y backup Data/*/*,14/TS,1,1,1,0,0,0,0,1,2,B_00401_Nu_00382_Cl_00516_0000
Y backup Data/*/*,14/TS_ENG,1,1,1,0,0,0,0,1,2,B_00401_Nu_00382_Cl_00516_0000
Y backup Data/*/*,19/TS,1,1,1,0,0,0,0,1,2,B_00402_Nu_00153_Cl_00519_0000
Y backup Data/*/*,19/TS_ENG,1,1,1,0,0,0,0,1,2,B_00402_Nu_00153_Cl_00519_0000
Y backup Data/*/*,2/TS,1,1,1,0,0,0,0,1,2,B_00429_Nu_00157_Cl_00516_0000
Y backup Data/*/*,2/TS_ENG,1,1,1,0,0,0,0,1,2,B_00429_Nu_00157_Cl_00516_0000
Y backup Data/*/*,20/TS_improve,1,1,1,0,0,0,0,1,2,B_00424_Nu_00173_Cl_00519_0000
Y backup Data/*/*,21/TS_improve,1,1,1,0,0,0,0,1,2,B_00401_Nu_00365_Cl_00511_0000
Y backup Data/*/*,22/TS_improve,1,1,1,0,0,0,0,1,2,B_00430_Nu_00308_Cl_00500_0000
Y backup Data/*/*,4/TS,1,1,1,0,0,0,0,1,2,B_00391_Nu_00054_Cl_00524_0000
Y backup Data/*/*,4/TS_ENG,1,1,1,0,0,0,0,1,2,B_00391_Nu_00054_Cl_00524_0000
Y backup Data/*/*,5/TS_improve,1,1,1,0,0,0,0,1,2,B_00391_Nu_00057_Cl_00563_0000
Y backup Data/*/*,6/TS_improve,1,1,1,0,0,0,0,1,2,B_00441_Nu_00387_Cl_00597_0000
Y backup Data/*/*,8/TS,1,1,1,0,0,0,0,1,2,B_00404_Nu_00193_Cl_00549_0001
Y backup Data/*/*,8/TS_ENG,1,1,1,0,0,0,0,1,2,B_00404_Nu_00193_Cl_00549_0001
Y backup Data/*/*,18/ts_dust_bin,1,1,1,0,0,0,0,1,1,B_00391_Nu_00050_Cl_00599_0000
Y backup Data/*/*,5/ts_dust_bin,1,1,1,0,0,0,0,1,1,B_00397_Nu_00288_Cl_00459_0000
Y backup Sum/*/*,IRC_full3_/subdir_0,1,1,1,0,0,0,0,1,1,B_00408_Nu_00302_Cl_00543_0000
Y backup Sum/*/*,IRC_full3_/subdir_1,1,1,1,0,0,0,0,1,1,B_00417_Nu_00307_Cl_00549_0001
Y backup Sum/*/*,IRC_full3_/subdir_10,1,1,1,0,0,0,0,1,1,B_00429_Nu_00256_Cl_00602_0000
Y backup Sum/*/*,IRC_full3_/subdir_171,1,1,1,0,0,0,0,1,1,B_00392_Nu_00349_Cl_00533_0000
Y backup Sum/*/*,IRC_full3_/subdir_174,1,1,1,0,0,0,0,1,1,B_00415_Nu_00309_Cl_00463_0000
Y backup Sum/*/*,IRC_full3_/subdir_175,1,1,1,0,0,0,0,1,1,B_00415_Nu_00309_Cl_00463_0000
Y backup Sum/*/*,IRC_full3_/subdir_18,1,1,1,0,0,0,0,1,1,B_00405_Nu_00338_Cl_00476_0000
Y backup Sum/*/*,IRC_full3_/subdir_183,1,1,1,0,0,0,0,1,1,B_00408_Nu_00288_Cl_00591_0000
Y backup Sum/*/*,IRC_full3_/subdir_185,1,1,1,0,0,0,0,1,1,B_00415_Nu_00309_Cl_00566_0000
Y backup Sum/*/*,IRC_full3_/subdir_189,1,1,1,0,0,0,0,1,1,B_00388_Nu_00301_Cl_00592_0000
Y backup Sum/*/*,IRC_full3_/subdir_19,1,1,1,0,0,0,0,1,1,B_00405_Nu_00338_Cl_00476_0000
Y backup Sum/*/*,IRC_full3_/subdir_193,1,1,1,0,0,0,0,1,1,B_00428_Nu_00385_Cl_00447_0000
Y backup Sum/*/*,IRC_full3_/subdir_194,1,1,1,0,0,0,0,1,1,B_00390_Nu_00097_Cl_00493_0000
Y backup Sum/*/*,IRC_full3_/subdir_198,1,1,1,0,0,0,0,1,1,B_00408_Nu_00299_Cl_00443_0000
Y backup Sum/*/*,IRC_full3_/subdir_199,1,1,1,0,0,0,0,1,1,B_00408_Nu_00302_Cl_00543_0000
Y backup Sum/*/*,IRC_full3_/subdir_26,1,1,1,0,0,0,0,1,1,B_00390_Nu_00328_Cl_00610_0000
Y backup Sum/*/*,IRC_full3_/subdir_29,1,1,1,0,0,0,0,1,1,B_00406_Nu_00178_Cl_00552_0000
Y backup Sum/*/*,IRC_full3_/subdir_3,1,1,1,0,0,0,0,1,1,B_00429_Nu_00157_Cl_00516_0000
Y backup Sum/*/*,IRC_full3_/subdir_36,1,1,1,0,0,0,0,1,1,B_00401_Nu_00176_Cl_00465_0000
Y backup Sum/*/*,IRC_full3_/subdir_37,1,1,1,0,0,0,0,1,1,B_00401_Nu_00177_Cl_00604_0000
Y backup Sum/*/*,IRC_full3_/subdir_39,1,1,1,0,0,0,0,1,1,B_00415_Nu_00321_Cl_00517_0000
Y backup Sum/*/*,IRC_full3_/subdir_4,1,1,1,0,0,0,0,1,1,B_00429_Nu_00157_Cl_00516_0000
Y backup Sum/*/*,IRC_full3_/subdir_40,1,1,1,0,0,0,0,1,1,B_00397_Nu_00309_Cl_00459_0000
Y backup Sum/*/*,IRC_full3_/subdir_42,1,1,1,0,0,0,0,1,1,B_00415_Nu_00326_Cl_00488_0000
Y backup Sum/*/*,IRC_full3_/subdir_43,1,1,1,0,0,0,0,1,1,B_00415_Nu_00326_Cl_00488_0000
Y backup Sum/*/*,IRC_full3_/subdir_47,1,1,1,0,0,0,0,1,1,B_00391_Nu_00050_Cl_00503_0000
Y backup Sum/*/*,IRC_full3_/subdir_49,1,1,1,0,0,0,0,1,1,B_00394_Nu_00309_Cl_00536_0000
Y backup Sum/*/*,IRC_full3_/subdir_50,1,1,1,0,0,0,0,1,1,B_00415_Nu_00331_Cl_00463_0000
Y backup Sum/*/*,IRC_full3_/subdir_53,1,1,1,0,0,0,0,1,1,B_00394_Nu_00309_Cl_00542_0000
Y backup Sum/*/*,IRC_full3_/subdir_55,1,1,1,0,0,0,0,1,1,B_00391_Nu_00058_Cl_00519_0000
Y backup Sum/*/*,IRC_full3_/subdir_56,1,1,1,0,0,0,0,1,1,B_00391_Nu_00058_Cl_00519_0000
Y backup Sum/*/*,IRC_full3_/subdir_58,1,1,1,0,0,0,0,1,1,B_00415_Nu_00331_Cl_00513_0000
Y backup Sum/*/*,IRC_full3_/subdir_59,1,1,1,0,0,0,0,1,1,B_00415_Nu_00331_Cl_00513_0000
Y backup Sum/*/*,IRC_full3_/subdir_60,1,1,1,0,0,0,0,1,1,B_00412_Nu_00289_Cl_00512_0000
Y backup Sum/*/*,IRC_full3_/subdir_65,1,1,1,0,0,0,0,1,1,B_00433_Nu_00339_Cl_00598_0000
Y backup Sum/*/*,IRC_full3_/subdir_68,1,1,1,0,0,0,0,1,1,B_00412_Nu_00289_Cl_00604_0000
Y backup Sum/*/*,IRC_full3_/subdir_74,1,1,1,0,0,0,0,1,1,B_00409_Nu_00297_Cl_00622_0000
Y backup Sum/*/*,IRC_full3_/subdir_75,1,1,1,0,0,0,0,1,1,B_00409_Nu_00298_Cl_00569_0000
Y backup Sum/*/*,IRC_full3_/subdir_78,1,1,1,0,0,0,0,1,1,B_00409_Nu_00300_Cl_00602_0000
Y backup Sum/*/*,IRC_full3_/subdir_79,1,1,1,0,0,0,0,1,1,B_00391_Nu_00133_Cl_00525_0000
Y backup Sum/*/*,IRC_full3_/subdir_81,1,1,1,0,0,0,0,1,1,B_00409_Nu_00326_Cl_00602_0000
Y backup Sum/*/*,IRC_full3_/subdir_85,1,1,1,0,0,0,0,1,1,B_00421_Nu_00037_Cl_00568_0000
Y backup Sum/*/*,IRC_full3_/subdir_87,1,1,1,0,0,0,0,1,1,B_00439_Nu_00052_Cl_00503_0000
Y backup Sum/*/*,IRC_full3_/subdir_88,1,1,1,0,0,0,0,1,1,B_00439_Nu_00052_Cl_00503_0000
Y backup Sum/*/*,IRC_full3_/subdir_89,1,1,1,0,0,0,0,1,1,B_00413_Nu_00090_Cl_00527_0000
Y backup Sum/*/*,IRC_full3_/subdir_90,1,1,1,0,0,0,0,1,1,B_00413_Nu_00090_Cl_00527_0000
Y backup Sum/*/*,IRC_full3_/subdir_91,1,1,1,0,0,0,0,1,1,B_00439_Nu_00057_Cl_00501_0000
Y backup Sum/*/*,IRC_full3_/subdir_92,1,1,1,0,0,0,0,1,1,B_00439_Nu_00057_Cl_00501_0000
Y backup Sum/*/*,IRC_full3_/subdir_96,1,1,1,0,0,0,0,1,1,B_00421_Nu_00220_Cl_00514_0000
Y backup Sum/*/*,IRC_full3_/subdir_97,1,1,1,0,0,0,0,1,1,B_00388_Nu_00184_Cl_00563_0000
Data/first_10000/*,Mols,2483,0,0,2483,0,2483,0,2483,2483,"B_00388_Nu_00000_Cl_00462_0100, B_00388_Nu_00000_Cl_00463_0100, B_00388_Nu_00001_Cl_00443_0000, B_00388_Nu_00001_Cl_00444_0000, B_00388_Nu_00001_Cl_00445_0000"
