label,split,model,feature_set,n,R2,MAE,RMSE,family_column,heldout_family,train_size,test_size
heldout_family,leave_one_LB_family,BEP_linear_DeltaG,DeltaG_rxn_only,4532,0.3879013273338373,2.7602096781315044,3.6814056134169384,LB_family,aryl_N_base,4448,4532
heldout_family,leave_one_LB_family,BEP_linear_DeltaG,DeltaG_rxn_only,1440,0.3807525632038147,2.7761063828638597,3.6530689161598717,LB_family,NHC,7540,1440
heldout_family,leave_one_LB_family,BEP_linear_DeltaG,DeltaG_rxn_only,1397,0.3599571141553549,2.5675406578812403,3.5933892300998167,LB_family,alkyl_phosphine,7583,1397
heldout_family,leave_one_LB_family,BEP_linear_DeltaG,DeltaG_rxn_only,1193,0.3644590675264262,2.952430369133215,4.012342322452909,LB_family,tertiary_amine,7787,1193
heldout_family,leave_one_LB_family,BEP_linear_DeltaG,DeltaG_rxn_only,401,0.3467979806295235,2.6103739338921987,3.4394914414971574,LB_family,aryl_phosphine,8579,401
heldout_family,leave_one_LB_family,CatBoost_full_descriptors,full_18_descriptors,4532,0.6968451014694312,2.0113602304540237,2.590808101418075,LB_family,aryl_N_base,4448,4532
heldout_family,leave_one_LB_family,CatBoost_full_descriptors,full_18_descriptors,1440,0.7217341492835512,1.8418497398180458,2.448813510502961,LB_family,NHC,7540,1440
heldout_family,leave_one_LB_family,CatBoost_full_descriptors,full_18_descriptors,1397,0.643462608073806,1.832403668466339,2.681959813667727,LB_family,alkyl_phosphine,7583,1397
heldout_family,leave_one_LB_family,CatBoost_full_descriptors,full_18_descriptors,1193,0.5155807986387759,2.6942104378684855,3.502973807654813,LB_family,tertiary_amine,7787,1193
heldout_family,leave_one_LB_family,CatBoost_full_descriptors,full_18_descriptors,401,0.6884960621805731,1.7197800484996526,2.375211264954994,LB_family,aryl_phosphine,8579,401
heldout_family,leave_one_LB_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,4532,0.5791524180530592,2.294521066449795,3.0525681561753406,LB_family,aryl_N_base,4448,4532
heldout_family,leave_one_LB_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1440,0.5022326502070605,2.413124188573555,3.275208555342187,LB_family,NHC,7540,1440
heldout_family,leave_one_LB_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1397,0.5108683030753263,2.271602237652362,3.1413232451342803,LB_family,alkyl_phosphine,7583,1397
heldout_family,leave_one_LB_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1193,-0.15279257748407815,4.481159384879496,5.4038315317230206,LB_family,tertiary_amine,7787,1193
heldout_family,leave_one_LB_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,401,0.44217921898482915,2.454765293114545,3.178467817525519,LB_family,aryl_phosphine,8579,401
heldout_family,leave_one_Cl_family,BEP_linear_DeltaG,DeltaG_rxn_only,2787,0.56302482778984,2.431539104967078,3.1865089247079754,Cl_family,alkyl_chloride,6193,2787
heldout_family,leave_one_Cl_family,BEP_linear_DeltaG,DeltaG_rxn_only,2005,0.6411322420226581,2.1290944681474318,2.8313865048637594,Cl_family,dichloromethyl,6975,2005
heldout_family,leave_one_Cl_family,BEP_linear_DeltaG,DeltaG_rxn_only,1777,0.66699577702422,2.131537632840308,2.721256687283604,Cl_family,trichloromethyl,7203,1777
heldout_family,leave_one_Cl_family,BEP_linear_DeltaG,DeltaG_rxn_only,1018,0.41534857383151025,2.5523313895689888,3.553447923113424,Cl_family,alpha_carbonyl_sulfonyl_chloride,7962,1018
heldout_family,leave_one_Cl_family,BEP_linear_DeltaG,DeltaG_rxn_only,593,0.17724694264552043,4.772272232173132,6.134374476118563,Cl_family,vinylic_allylic_chloride,8387,593
heldout_family,leave_one_Cl_family,BEP_linear_DeltaG,DeltaG_rxn_only,408,-0.14634847476432067,4.383015211356817,6.032266454050986,Cl_family,heteroatom_adjacent_alkyl_chloride,8572,408
heldout_family,leave_one_Cl_family,BEP_linear_DeltaG,DeltaG_rxn_only,211,0.6640479901599043,1.9078595182415259,2.3188391693588835,Cl_family,CCl4_family,8769,211
heldout_family,leave_one_Cl_family,BEP_linear_DeltaG,DeltaG_rxn_only,181,0.22308730417180922,3.3133869481734983,4.211228370578919,Cl_family,aryl_chloride,8799,181
heldout_family,leave_one_Cl_family,CatBoost_full_descriptors,full_18_descriptors,2787,0.7096592623953994,2.0599968315711092,2.597411421989644,Cl_family,alkyl_chloride,6193,2787
heldout_family,leave_one_Cl_family,CatBoost_full_descriptors,full_18_descriptors,2005,0.8492562431014912,1.368060121955696,1.8350656438333677,Cl_family,dichloromethyl,6975,2005
heldout_family,leave_one_Cl_family,CatBoost_full_descriptors,full_18_descriptors,1777,0.8418178245175697,1.435360485689651,1.8755273896314577,Cl_family,trichloromethyl,7203,1777
heldout_family,leave_one_Cl_family,CatBoost_full_descriptors,full_18_descriptors,1018,0.5995442618353721,2.2367942712509157,2.9408895146432137,Cl_family,alpha_carbonyl_sulfonyl_chloride,7962,1018
heldout_family,leave_one_Cl_family,CatBoost_full_descriptors,full_18_descriptors,593,0.40995311624869624,4.001990252097778,5.194919142931398,Cl_family,vinylic_allylic_chloride,8387,593
heldout_family,leave_one_Cl_family,CatBoost_full_descriptors,full_18_descriptors,408,0.5861913480352169,2.707575051574271,3.6242819098542096,Cl_family,heteroatom_adjacent_alkyl_chloride,8572,408
heldout_family,leave_one_Cl_family,CatBoost_full_descriptors,full_18_descriptors,211,0.8871496297411535,0.9808878053969265,1.3439512022469864,Cl_family,CCl4_family,8769,211
heldout_family,leave_one_Cl_family,CatBoost_full_descriptors,full_18_descriptors,181,0.7776504505779858,1.8002444366939812,2.252894273006101,Cl_family,aryl_chloride,8799,181
heldout_family,leave_one_Cl_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,2787,0.5271325075164567,2.6055979182995372,3.3147935698108406,Cl_family,alkyl_chloride,6193,2787
heldout_family,leave_one_Cl_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,2005,0.7330583763576544,1.8607772284582955,2.4419686596700525,Cl_family,dichloromethyl,6975,2005
heldout_family,leave_one_Cl_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1777,0.650485206603375,2.225901872259671,2.7879014637517314,Cl_family,trichloromethyl,7203,1777
heldout_family,leave_one_Cl_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1018,0.6373945831564324,2.127043470927179,2.7984567042234496,Cl_family,alpha_carbonyl_sulfonyl_chloride,7962,1018
heldout_family,leave_one_Cl_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,593,0.12220823810807868,5.0631924867738025,6.336235087591526,Cl_family,vinylic_allylic_chloride,8387,593
heldout_family,leave_one_Cl_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,408,0.5458282604335547,2.7913417925360577,3.7969269483899075,Cl_family,heteroatom_adjacent_alkyl_chloride,8572,408
heldout_family,leave_one_Cl_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,211,0.7688488554652116,1.3041884582553454,1.9234461412361006,Cl_family,CCl4_family,8769,211
heldout_family,leave_one_Cl_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,181,0.07688509550662814,3.995021949842312,4.590400367862766,Cl_family,aryl_chloride,8799,181
heldout_family,leave_one_B_family,BEP_linear_DeltaG,DeltaG_rxn_only,2788,0.5849804459386814,2.1847223619835643,2.9584539179398783,B_family,aryl_borane,6192,2788
heldout_family,leave_one_B_family,BEP_linear_DeltaG,DeltaG_rxn_only,2209,0.4684260332937298,2.6946656790991703,3.72380230346984,B_family,alkyl_borane,6771,2209
heldout_family,leave_one_B_family,BEP_linear_DeltaG,DeltaG_rxn_only,837,0.4857110788861777,2.742534283224793,3.725265529726146,B_family,cyclic_alkyl_borane,8143,837
heldout_family,leave_one_B_family,BEP_linear_DeltaG,DeltaG_rxn_only,790,0.696034258034728,2.027426845536135,2.7499017884385752,B_family,BH3,8190,790
heldout_family,leave_one_B_family,BEP_linear_DeltaG,DeltaG_rxn_only,720,0.3917205512456837,2.755208621678931,3.748403406683442,B_family,cyanoborane,8260,720
heldout_family,leave_one_B_family,BEP_linear_DeltaG,DeltaG_rxn_only,648,0.38414970251129754,3.308311659899138,4.358456890362014,B_family,alkoxy_acyloxy_borane,8332,648
heldout_family,leave_one_B_family,BEP_linear_DeltaG,DeltaG_rxn_only,471,0.4053200486061137,3.290984407722622,4.536275038076716,B_family,haloborane,8509,471
heldout_family,leave_one_B_family,BEP_linear_DeltaG,DeltaG_rxn_only,361,0.5709980215135246,2.4904496074506133,3.28900407573132,B_family,thio_silyl_borane,8619,361
heldout_family,leave_one_B_family,BEP_linear_DeltaG,DeltaG_rxn_only,156,0.466408483651656,2.7987232121781234,3.7611319209638703,B_family,aminoborane,8824,156
heldout_family,leave_one_B_family,CatBoost_full_descriptors,full_18_descriptors,2788,0.855233369957322,1.3358530025515924,1.747289075506313,B_family,aryl_borane,6192,2788
heldout_family,leave_one_B_family,CatBoost_full_descriptors,full_18_descriptors,2209,0.7948307555398424,1.704069041604354,2.3134541355469196,B_family,alkyl_borane,6771,2209
heldout_family,leave_one_B_family,CatBoost_full_descriptors,full_18_descriptors,837,0.8406566720598385,1.5601577594243787,2.0735790247833057,B_family,cyclic_alkyl_borane,8143,837
heldout_family,leave_one_B_family,CatBoost_full_descriptors,full_18_descriptors,790,0.916229662214268,1.0892339613955482,1.4436103825695537,B_family,BH3,8190,790
heldout_family,leave_one_B_family,CatBoost_full_descriptors,full_18_descriptors,720,0.8087827379334247,1.592624779402904,2.101639874782356,B_family,cyanoborane,8260,720
heldout_family,leave_one_B_family,CatBoost_full_descriptors,full_18_descriptors,648,0.6962062339433486,2.296812728995463,3.0611499630780994,B_family,alkoxy_acyloxy_borane,8332,648
heldout_family,leave_one_B_family,CatBoost_full_descriptors,full_18_descriptors,471,0.8353172764891844,1.8518040183562479,2.387161216751541,B_family,haloborane,8509,471
heldout_family,leave_one_B_family,CatBoost_full_descriptors,full_18_descriptors,361,0.8521908740266035,1.4509004008964825,1.9305692681865927,B_family,thio_silyl_borane,8619,361
heldout_family,leave_one_B_family,CatBoost_full_descriptors,full_18_descriptors,156,0.7480613987803818,1.901103357150913,2.5844103126859763,B_family,aminoborane,8824,156
heldout_family,leave_one_B_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,2788,0.7192400481792011,1.8550266404581368,2.4333137422307383,B_family,aryl_borane,6192,2788
heldout_family,leave_one_B_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,2209,0.6941882804683208,2.1183527468570063,2.8244365751939395,B_family,alkyl_borane,6771,2209
heldout_family,leave_one_B_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,837,0.7321310130046068,1.9944048376091852,2.688529877415324,B_family,cyclic_alkyl_borane,8143,837
heldout_family,leave_one_B_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,790,0.8736529189321888,1.3548039780682437,1.772913186086325,B_family,BH3,8190,790
heldout_family,leave_one_B_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,720,0.5692573806904759,2.5297590445981117,3.1543049274390245,B_family,cyanoborane,8260,720
heldout_family,leave_one_B_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,648,0.5968042823200397,2.629782033991358,3.526575064231179,B_family,alkoxy_acyloxy_borane,8332,648
heldout_family,leave_one_B_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,471,0.7566013432927448,2.2258767015157543,2.902129703294109,B_family,haloborane,8509,471
heldout_family,leave_one_B_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,361,0.7208787520934705,2.053972433489499,2.6529631228366712,B_family,thio_silyl_borane,8619,361
heldout_family,leave_one_B_family,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,156,0.6899305533195872,2.2143890440082097,2.867104983396991,B_family,aminoborane,8824,156
