label,split,model,feature_set,n,R2,MAE,RMSE,fold,group_column,train_groups,test_groups,train_size,test_size,n_groups
fold,groupkfold_LB_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1847,0.5483619933495054,3.132934566906136,4.083359712773377,1.0,LB_scaffold,162.0,34.0,7390.0,1847.0,
fold,groupkfold_LB_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1849,0.5919238416586938,3.2360369517606937,4.200443664158868,2.0,LB_scaffold,155.0,41.0,7388.0,1849.0,
fold,groupkfold_LB_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1848,0.5937842570107046,3.1109657621990876,4.077465751596628,3.0,LB_scaffold,155.0,41.0,7389.0,1848.0,
fold,groupkfold_LB_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1847,0.39760000636331416,3.559255719315622,4.8009244758453615,4.0,LB_scaffold,155.0,41.0,7390.0,1847.0,
fold,groupkfold_LB_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1846,0.4215724279586973,3.3230889774539683,4.745899725496032,5.0,LB_scaffold,157.0,39.0,7391.0,1846.0,
overall,groupkfold_LB_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,9237,0.5206187434439915,3.272425545456431,4.39342079719653,,LB_scaffold,,,,,196.0
fold,groupkfold_LB_scaffold,CatBoost_full_descriptors,full_18_descriptors,1847,0.8771220311600725,1.5835138879835853,2.129900966483283,1.0,LB_scaffold,162.0,34.0,7390.0,1847.0,
fold,groupkfold_LB_scaffold,CatBoost_full_descriptors,full_18_descriptors,1849,0.8694752677492329,1.7711285098377965,2.375587103059261,2.0,LB_scaffold,155.0,41.0,7388.0,1849.0,
fold,groupkfold_LB_scaffold,CatBoost_full_descriptors,full_18_descriptors,1848,0.8231631579502057,1.8636782914164842,2.6902851968018346,3.0,LB_scaffold,155.0,41.0,7389.0,1848.0,
fold,groupkfold_LB_scaffold,CatBoost_full_descriptors,full_18_descriptors,1847,0.8175066246252483,1.8821355892971108,2.642444939603513,4.0,LB_scaffold,155.0,41.0,7390.0,1847.0,
fold,groupkfold_LB_scaffold,CatBoost_full_descriptors,full_18_descriptors,1846,0.8279046364948843,1.6981824117150248,2.588681676847047,5.0,LB_scaffold,157.0,39.0,7391.0,1846.0,
overall,groupkfold_LB_scaffold,CatBoost_full_descriptors,full_18_descriptors,9237,0.8455174164280455,1.759748123177561,2.494032099610093,,LB_scaffold,,,,,196.0
fold,groupkfold_LB_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1847,0.7967335889186569,2.046780945036656,2.739398466323155,1.0,LB_scaffold,162.0,34.0,7390.0,1847.0,
fold,groupkfold_LB_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1849,0.7616391513531802,2.4716154668037356,3.2102733598756417,2.0,LB_scaffold,155.0,41.0,7388.0,1849.0,
fold,groupkfold_LB_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1848,0.6886368041065258,2.4474378955947573,3.5698139699254,3.0,LB_scaffold,155.0,41.0,7389.0,1848.0,
fold,groupkfold_LB_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1847,0.7459335469942903,2.2053504089061122,3.117856027523393,4.0,LB_scaffold,155.0,41.0,7390.0,1847.0,
fold,groupkfold_LB_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1846,0.7481432837583419,2.2153062415818416,3.1316327994524,5.0,LB_scaffold,157.0,39.0,7391.0,1846.0,
overall,groupkfold_LB_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,9237,0.7512273829834913,2.277365395893861,3.16492602993449,,LB_scaffold,,,,,196.0
fold,groupkfold_Cl_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1850,0.42814897260676454,3.319682471231272,4.635255279064294,1.0,Cl_scaffold,117.0,23.0,7387.0,1850.0,
fold,groupkfold_Cl_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1849,0.4582769008618244,3.470502545060783,4.766948800748683,2.0,Cl_scaffold,112.0,28.0,7388.0,1849.0,
fold,groupkfold_Cl_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1848,0.6173400207967747,2.8654386369267506,3.712544434070049,3.0,Cl_scaffold,110.0,30.0,7389.0,1848.0,
fold,groupkfold_Cl_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1848,0.49050235612650817,3.786805875861476,4.981162371090934,4.0,Cl_scaffold,110.0,30.0,7389.0,1848.0,
fold,groupkfold_Cl_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1842,0.6019493211591819,2.945256111325791,3.779044047843483,5.0,Cl_scaffold,111.0,29.0,7395.0,1842.0,
overall,groupkfold_Cl_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,9237,0.5176607718667356,3.277782980869329,4.406954522454144,,Cl_scaffold,,,,,140.0
fold,groupkfold_Cl_scaffold,CatBoost_full_descriptors,full_18_descriptors,1850,0.8294745853510275,1.7194360035476106,2.5312017464017824,1.0,Cl_scaffold,117.0,23.0,7387.0,1850.0,
fold,groupkfold_Cl_scaffold,CatBoost_full_descriptors,full_18_descriptors,1849,0.7503319409668986,2.4376392600924532,3.236184718219859,2.0,Cl_scaffold,112.0,28.0,7388.0,1849.0,
fold,groupkfold_Cl_scaffold,CatBoost_full_descriptors,full_18_descriptors,1848,0.8711352646079004,1.6418728888074705,2.1544289767716807,3.0,Cl_scaffold,110.0,30.0,7389.0,1848.0,
fold,groupkfold_Cl_scaffold,CatBoost_full_descriptors,full_18_descriptors,1848,0.6559537959647652,2.854421348673545,4.093247393366285,4.0,Cl_scaffold,110.0,30.0,7389.0,1848.0,
fold,groupkfold_Cl_scaffold,CatBoost_full_descriptors,full_18_descriptors,1842,0.8618526473035497,1.590824569615049,2.22630187998392,5.0,Cl_scaffold,111.0,29.0,7395.0,1842.0,
overall,groupkfold_Cl_scaffold,CatBoost_full_descriptors,full_18_descriptors,9237,0.7852060362865307,2.049107091758132,2.9408529753314787,,Cl_scaffold,,,,,140.0
fold,groupkfold_Cl_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1850,0.7164027882314226,2.416664723727189,3.264248270561949,1.0,Cl_scaffold,117.0,23.0,7387.0,1850.0,
fold,groupkfold_Cl_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1849,0.5144919154675048,3.426346789354763,4.5128411131786805,2.0,Cl_scaffold,112.0,28.0,7388.0,1849.0,
fold,groupkfold_Cl_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1848,0.7938212000096154,2.0744052151371575,2.7251294824985477,3.0,Cl_scaffold,110.0,30.0,7389.0,1848.0,
fold,groupkfold_Cl_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1848,0.7409958857343256,2.7690061308579415,3.5515091680255417,4.0,Cl_scaffold,110.0,30.0,7389.0,1848.0,
fold,groupkfold_Cl_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1842,0.7849174560194756,2.109009705340242,2.777891966830597,5.0,Cl_scaffold,111.0,29.0,7395.0,1842.0,
overall,groupkfold_Cl_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,9237,0.7079632591700653,2.5594419180521735,3.429106893326178,,Cl_scaffold,,,,,140.0
fold,groupkfold_B_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,2486,0.49410432912471636,3.39410626411994,4.281580767390558,1.0,B_scaffold,46.0,1.0,6751.0,2486.0,
fold,groupkfold_B_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1685,0.5855834378776498,3.0810026946173066,4.28562328152711,2.0,B_scaffold,37.0,10.0,7552.0,1685.0,
fold,groupkfold_B_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1698,0.4464713746079658,3.347122102384225,4.509691629187903,3.0,B_scaffold,35.0,12.0,7539.0,1698.0,
fold,groupkfold_B_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1682,0.5130521863006168,3.2083288327839345,4.326657806646205,4.0,B_scaffold,35.0,12.0,7555.0,1682.0,
fold,groupkfold_B_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,1686,0.45192693256249983,3.407138092322339,4.71282838561536,5.0,B_scaffold,35.0,12.0,7551.0,1686.0,
overall,groupkfold_B_scaffold,BEP_linear_DeltaG,DeltaG_rxn_only,9237,0.516064044031828,3.2969032113542047,4.414242850473705,,B_scaffold,,,,,47.0
fold,groupkfold_B_scaffold,CatBoost_full_descriptors,full_18_descriptors,2486,0.8657426761851147,1.6802654161957418,2.205680747584671,1.0,B_scaffold,46.0,1.0,6751.0,2486.0,
fold,groupkfold_B_scaffold,CatBoost_full_descriptors,full_18_descriptors,1685,0.891529992372303,1.5741346111578312,2.1925538882873785,2.0,B_scaffold,37.0,10.0,7552.0,1685.0,
fold,groupkfold_B_scaffold,CatBoost_full_descriptors,full_18_descriptors,1698,0.8192475597319928,1.9070746139931811,2.5770265214302945,3.0,B_scaffold,35.0,12.0,7539.0,1698.0,
fold,groupkfold_B_scaffold,CatBoost_full_descriptors,full_18_descriptors,1682,0.8161410984355206,1.9460795379121076,2.658604091946158,4.0,B_scaffold,35.0,12.0,7555.0,1682.0,
fold,groupkfold_B_scaffold,CatBoost_full_descriptors,full_18_descriptors,1686,0.8162768377618334,1.9154035359027195,2.7286281225687703,5.0,B_scaffold,35.0,12.0,7551.0,1686.0,
overall,groupkfold_B_scaffold,CatBoost_full_descriptors,full_18_descriptors,9237,0.8496662093718128,1.7939206975559308,2.4603142436646515,,B_scaffold,,,,,47.0
fold,groupkfold_B_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,2486,0.8132304109568548,1.9506118844113358,2.6015174361744453,1.0,B_scaffold,46.0,1.0,6751.0,2486.0,
fold,groupkfold_B_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1685,0.8360211076005742,1.9788155139526165,2.6958108391588365,2.0,B_scaffold,37.0,10.0,7552.0,1685.0,
fold,groupkfold_B_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1698,0.6621890945066782,2.70823799758892,3.5230080565610606,3.0,B_scaffold,35.0,12.0,7539.0,1698.0,
fold,groupkfold_B_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1682,0.7078937504355832,2.5423867082821427,3.3510565955221074,4.0,B_scaffold,35.0,12.0,7555.0,1682.0,
fold,groupkfold_B_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,1686,0.7398568017280283,2.3771960098258758,3.2468979021870257,5.0,B_scaffold,35.0,12.0,7551.0,1686.0,
overall,groupkfold_B_scaffold,CatBoost_without_DeltaG_rxn,all_except_DeltaG_rxn,9237,0.7665982623686138,2.2806495963472684,3.065591754503824,,B_scaffold,,,,,47.0
